ID, Actual class, Resub pred
-----------------------------
1, 2.0, 2
2, 2.0, 2
3, 2.0, 2
4, 2.0, 2
5, 2.0, 2
6, 2.0, 2
7, 2.0, 2
8, 2.0, 2
9, 2.0, 2
10, 2.0, 1
11, 2.0, 2
12, 2.0, 2
13, 2.0, 2
14, 2.0, 2
15, 2.0, 2
16, 2.0, 2
17, 2.0, 2
18, 2.0, 1
19, 2.0, 2
20, 2.0, 2
21, 2.0, 2
22, 2.0, 2
23, 2.0, 1
24, 2.0, 2
25, 2.0, 2
26, 2.0, 2
27, 2.0, 2
28, 2.0, 2
29, 2.0, 1
30, 2.0, 2
31, 2.0, 2
32, 2.0, 2
33, 2.0, 2
34, 2.0, 1
35, 2.0, 2
36, 2.0, 2
37, 1.0, 1
38, 1.0, 2
39, 1.0, 2
40, 1.0, 1
41, 1.0, 1
42, 1.0, 2
43, 1.0, 1
44, 1.0, 2
45, 1.0, 2
46, 1.0, 1
47, 1.0, 2
48, 1.0, 2
49, 1.0, 1
50, 1.0, 1
51, 1.0, 2
52, 1.0, 2
53, 1.0, 2
54, 1.0, 1
55, 2.0, 2
56, 2.0, 2
57, 2.0, 2
58, 2.0, 2
59, 2.0, 2
60, 2.0, 2
61, 2.0, 2
62, 2.0, 2
63, 2.0, 2
64, 2.0, 2
65, 2.0, 1
66, 2.0, 2
67, 2.0, 2
68, 2.0, 2
69, 2.0, 2
70, 2.0, 2
71, 2.0, 2
72, 2.0, 2
73, 2.0, 2
74, 2.0, 2
75, 2.0, 2
76, 2.0, 2
77, 2.0, 1
78, 2.0, 2
79, 2.0, 1
80, 2.0, 2
81, 2.0, 2
82, 2.0, 2
83, 2.0, 2
84, 2.0, 2
85, 2.0, 2
86, 2.0, 2
87, 2.0, 1
88, 2.0, 2
89, 2.0, 2
90, 2.0, 2
91, 1.0, 1
92, 1.0, 2
93, 1.0, 1
94, 1.0, 2
95, 1.0, 1
96, 1.0, 1
97, 1.0, 1
98, 1.0, 1
99, 1.0, 2
100, 1.0, 1
101, 1.0, 1
102, 1.0, 1
103, 1.0, 1
104, 1.0, 1
105, 1.0, 2
106, 1.0, 2
107, 1.0, 1
108, 1.0, 1
109, 2.0, 2
110, 2.0, 2
111, 2.0, 2
112, 2.0, 2
113, 2.0, 2
114, 2.0, 1
115, 2.0, 2
116, 2.0, 2
117, 2.0, 2
118, 2.0, 2
119, 2.0, 2
120, 2.0, 2
121, 2.0, 2
122, 2.0, 2
123, 2.0, 2
124, 2.0, 2
125, 2.0, 2
126, 2.0, 1
127, 2.0, 2
128, 2.0, 1
129, 2.0, 2
130, 2.0, 2
131, 2.0, 2
132, 2.0, 2
133, 2.0, 2
134, 2.0, 2
135, 2.0, 1
136, 2.0, 2
137, 2.0, 2
138, 2.0, 2
139, 2.0, 2
140, 2.0, 1
141, 2.0, 2
142, 2.0, 2
143, 2.0, 2
144, 2.0, 2
145, 1.0, 2
146, 1.0, 1
147, 1.0, 1
148, 1.0, 2
149, 1.0, 1
150, 1.0, 2
151, 1.0, 1
152, 1.0, 1
153, 1.0, 1
154, 1.0, 2
155, 1.0, 2
156, 1.0, 2
157, 1.0, 2
158, 1.0, 1
159, 1.0, 1
160, 1.0, 2
161, 1.0, 1
162, 1.0, 1
163, 2.0, 2
164, 2.0, 2
165, 2.0, 2
166, 2.0, 2
167, 2.0, 2
168, 2.0, 2
169, 2.0, 2
170, 2.0, 2
171, 2.0, 2
172, 2.0, 2
173, 2.0, 2
174, 2.0, 2
175, 2.0, 2
176, 2.0, 2
177, 2.0, 2
178, 2.0, 2
179, 2.0, 2
180, 2.0, 2
181, 2.0, 1
182, 2.0, 2
183, 2.0, 2
184, 2.0, 2
185, 2.0, 2
186, 2.0, 2
187, 2.0, 2
188, 2.0, 2
189, 2.0, 2
190, 2.0, 2
191, 2.0, 2
192, 2.0, 2
193, 2.0, 2
194, 2.0, 2
195, 2.0, 2
196, 2.0, 2
197, 2.0, 2
198, 2.0, 2
199, 1.0, 1
200, 1.0, 2
201, 1.0, 1
202, 1.0, 2
203, 1.0, 1
204, 1.0, 1
205, 1.0, 2
206, 1.0, 1
207, 1.0, 1
208, 1.0, 2
209, 1.0, 2
210, 1.0, 1
211, 1.0, 1
212, 1.0, 1
213, 1.0, 1
214, 1.0, 1
215, 1.0, 1
216, 1.0, 1
217, 2.0, 2
218, 2.0, 1
219, 2.0, 2
220, 2.0, 2
221, 2.0, 2
222, 2.0, 2
223, 2.0, 2
224, 2.0, 2
225, 2.0, 1
226, 2.0, 2
227, 2.0, 2
228, 2.0, 1
229, 2.0, 2
230, 2.0, 2
231, 2.0, 2
232, 2.0, 2
233, 2.0, 2
234, 2.0, 2
235, 2.0, 2
236, 2.0, 2
237, 2.0, 2
238, 2.0, 2
239, 2.0, 2
240, 2.0, 1
241, 2.0, 2
242, 2.0, 1
243, 2.0, 2
244, 2.0, 2
245, 2.0, 2
246, 2.0, 2
247, 2.0, 2
248, 2.0, 2
249, 2.0, 1
250, 2.0, 2
251, 2.0, 2
252, 2.0, 2

Confusion Matrix (Resubstitution) 
 ----------------------------------
    1    2
1  44   28
2  21  159

Model Summary (Resubstitution)
------------------------------
Overall accuracy = .806


ID, Actual class, Test pred
-----------------------------
1, 1.0, 2
2, 1.0, 1
3, 1.0, 1
4, 1.0, 1
5, 1.0, 1
6, 1.0, 2
7, 1.0, 2
8, 1.0, 2
9, 1.0, 1
10, 1.0, 2
11, 1.0, 1
12, 1.0, 1
13, 1.0, 2
14, 1.0, 1
15, 1.0, 2
16, 1.0, 2
17, 1.0, 2
18, 1.0, 2
19, 2.0, 1
20, 2.0, 2
21, 2.0, 2
22, 2.0, 2
23, 2.0, 1
24, 2.0, 2
25, 2.0, 2
26, 2.0, 2
27, 2.0, 2
28, 2.0, 2
29, 2.0, 2
30, 2.0, 2
31, 2.0, 2
32, 2.0, 1
33, 2.0, 2
34, 2.0, 2
35, 2.0, 2
36, 2.0, 2
37, 2.0, 2
38, 2.0, 2
39, 2.0, 2
40, 2.0, 2
41, 2.0, 1
42, 2.0, 2
43, 2.0, 1
44, 2.0, 2
45, 2.0, 2
46, 2.0, 2
47, 2.0, 2
48, 2.0, 2
49, 2.0, 2
50, 2.0, 2
51, 2.0, 2
52, 2.0, 2
53, 2.0, 2
54, 2.0, 2
55, 1.0, 1
56, 1.0, 2
57, 1.0, 2
58, 1.0, 2
59, 1.0, 2
60, 1.0, 2
61, 1.0, 1
62, 1.0, 1
63, 1.0, 2
64, 1.0, 1
65, 1.0, 1
66, 1.0, 2
