ID, Actual class, Resub pred, Pred Prob
-----------------------------
1, 1, 1, 0.077
2, 1, 1, 0.001
3, 1, 1, 0
4, 1, 2, 0.519
5, 1, 2, 0.962
6, 1, 1, 0
7, 1, 1, 0.073
8, 1, 1, 0.036
9, 1, 1, 0
10, 1, 1, 0.007
11, 1, 1, 0.043
12, 1, 1, 0
13, 1, 1, 0.1
14, 1, 1, 0
15, 2, 2, 0.695
16, 2, 1, 0.177
17, 2, 2, 0.657
18, 2, 2, 0.991
19, 2, 2, 1
20, 2, 2, 0.997
21, 2, 2, 0.958
22, 2, 2, 0.998
23, 2, 2, 0.739
24, 2, 2, 0.93
25, 2, 2, 1
26, 2, 2, 0.969
27, 2, 2, 0.999
28, 2, 2, 0.99
29, 2, 2, 1
30, 2, 2, 0.703
31, 2, 2, 0.907
32, 1, 2, 0.953
33, 1, 1, 0.191
34, 1, 1, 0
35, 1, 1, 0.012
36, 1, 1, 0.002
37, 1, 1, 0.27
38, 1, 1, 0.024
39, 1, 1, 0.001
40, 1, 1, 0
41, 1, 1, 0.398
42, 1, 1, 0.009
43, 1, 1, 0
44, 1, 2, 0.969
45, 1, 1, 0.05
46, 2, 2, 0.984
47, 2, 2, 0.996
48, 2, 2, 0.998
49, 2, 2, 0.992
50, 2, 2, 0.993
51, 2, 2, 0.997
52, 2, 2, 0.993
53, 2, 2, 0.585
54, 2, 2, 0.987
55, 2, 2, 0.992
56, 2, 2, 0.55
57, 2, 2, 1
58, 2, 2, 0.999
59, 2, 2, 1
60, 2, 2, 0.847
61, 2, 2, 1
62, 2, 2, 0.975
63, 1, 2, 0.952
64, 1, 1, 0.002
65, 1, 1, 0.001
66, 1, 2, 0.879
67, 1, 1, 0
68, 1, 1, 0.001
69, 1, 1, 0.006
70, 1, 1, 0.016
71, 1, 1, 0.321
72, 1, 1, 0.188
73, 1, 1, 0.01
74, 1, 1, 0.313
75, 1, 2, 0.997
76, 1, 1, 0.061
77, 2, 2, 0.975
78, 2, 2, 0.98
79, 2, 2, 0.996
80, 2, 1, 0.001
81, 2, 2, 0.536
82, 2, 2, 0.912
83, 2, 2, 0.999
84, 2, 1, 0.395
85, 2, 2, 0.995
86, 2, 1, 0.392
87, 2, 2, 0.787
88, 2, 2, 0.999
89, 2, 2, 1
90, 2, 2, 0.838
91, 2, 2, 0.96
92, 2, 2, 1
93, 2, 2, 1
94, 1, 2, 0.929
95, 1, 1, 0
96, 1, 1, 0.001
97, 1, 1, 0.203
98, 1, 1, 0.44
99, 1, 1, 0
100, 1, 1, 0
101, 1, 1, 0.012
102, 1, 1, 0.002
103, 1, 2, 0.981
104, 1, 2, 0.894
105, 1, 2, 0.601
106, 1, 1, 0.002
107, 1, 1, 0.042
108, 2, 2, 0.967
109, 2, 2, 1
110, 2, 2, 0.999
111, 2, 1, 0.274
112, 2, 1, 0.014
113, 2, 2, 0.979
114, 2, 2, 0.995
115, 2, 2, 0.999
116, 2, 2, 0.945
117, 2, 2, 0.999
118, 2, 2, 0.994
119, 2, 2, 0.99
120, 2, 2, 0.994
121, 2, 2, 1
122, 2, 2, 0.999
123, 2, 2, 0.999
124, 2, 2, 1
125, 1, 2, 0.97
126, 1, 1, 0
127, 1, 1, 0.009
128, 1, 1, 0
129, 1, 2, 0.902
130, 1, 1, 0.001
131, 1, 2, 0.999
132, 1, 2, 0.912
133, 1, 1, 0.015
134, 1, 1, 0
135, 1, 2, 0.989
136, 1, 1, 0.234
137, 1, 1, 0
138, 1, 1, 0.001
139, 2, 2, 0.944
140, 2, 1, 0.031
141, 2, 2, 0.995
142, 2, 2, 1
143, 2, 2, 1
144, 2, 2, 0.946
145, 2, 2, 0.999
146, 2, 2, 0.794
147, 2, 2, 0.998
148, 2, 2, 0.764
149, 2, 2, 0.965
150, 2, 2, 0.982
151, 2, 2, 0.965
